date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:50	4883/4883	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:41%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=11	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear5e50.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:51	4841/4841	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:41%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=12	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear1eb0.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:51	4816/4816	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:42%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=13	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear6810.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:51	4882/4882	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:42%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=14	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyeareb04.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:51	4883/4883	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:42%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=15	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearb26f.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:52	4845/4845	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:42%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=16	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearcc83.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:52	4849/4849	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:43%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=17	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear66d3.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:52	4807/4807	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:43%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=18	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear060b.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:52	4880/4880	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:43%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=19	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear9463.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:52	4865/4865	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:43%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=20	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear37ab.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
